ID DO CLIENTE,GÊNERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVIÇO TELEFÔNICO,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,MÉTODO DE PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGAMENTO,CHURN,GÊNERO_MAIOR_GRUPO,GÊNERO_MENOR_GRUPO,SERVIÇO TELEFÔNICO_MAIOR_GRUPO,SERVIÇO TELEFÔNICO_MENOR_GRUPO,PAGAMENTO_MENSAL_MEDIA,PAGAMENTO_MENSAL_MEDIANA,GÊNERO_CATCODES,CASADO_CATCODES,DEPENDENTES_CATCODES,SERVIÇO TELEFÔNICO_CATCODES,SERVICO_INTERNET_CATCODES,SERVICO_SEGURANCA_CATCODES,SUPORTE_TECNICO_CATCODES,STREAMINGTV_CATCODES,TIPO_CONTRATO_CATCODES,MÉTODO DE PAGAMENTO_CATCODES,CHURN_CATCODES,GÊNERO_MAIOR_GRUPO_CATCODES,GÊNERO_MENOR_GRUPO_CATCODES,SERVIÇO TELEFÔNICO_MAIOR_GRUPO_CATCODES,SERVIÇO TELEFÔNICO_MENOR_GRUPO_CATCODES
4929-XIHVW,macho,1,sim,não,2,sim,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,181.65,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,0,1,1,0,0,2,1,0,0,1,1,1,1
6827-IEAUQ,fêmea,0,sim,sim,27,sim,dsl,sim,sim,não,um ano,cheque enviado,,1874.45,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,2,2,0,2,2,0,0,0,1,1
7310-EGVHZ,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,transferência bancária (automática),,20.2,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,2,1,1,1,1,3,0,1,1,1,1
3413-BMNZE,macho,1,não,não,1,sim,dsl,não,não,não,mês a mês,transferência bancária (automática),,45.25,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,0,0,0,0,1,3,0,1,1,1,1
6234-RAAPL,fêmea,0,sim,sim,72,sim,fibra óptica,sim,sim,sim,dois anos,transferência bancária (automática),,7251.7,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,1,2,2,2,0,3,0,0,0,1,1
6047-YHPVI,macho,0,não,não,5,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,316.9,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1
6572-ADKRS,fêmea,0,não,não,46,sim,fibra óptica,não,não,não,mês a mês,cartão de crédito (automático),,3548.3,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
5380-WJKOV,macho,0,não,não,34,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,3549.25,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,0,2,1,1,1,1,1,1,1
8168-UQWWF,fêmea,0,não,não,11,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,1105.4,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,2,1,3,1,0,0,1,1
8865-TNMNX,macho,0,sim,sim,10,sim,dsl,não,não,não,um ano,cheque enviado,,475.7,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,0,0,0,0,2,2,0,1,1,1,1
9489-DEDVP,fêmea,0,sim,sim,70,sim,dsl,sim,não,sim,dois anos,cartão de crédito (automático),,4872.35,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,2,0,2,0,0,0,0,0,1,1
9867-JCZSP,fêmea,0,sim,sim,17,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,418.25,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,2,2,0,0,0,1,1
4671-VJLCL,fêmea,0,não,não,63,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,4861.45,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,0,2,2,2,0,0,0,0,0,1,1
4080-IIARD,fêmea,0,sim,não,13,sim,dsl,sim,sim,sim,mês a mês,cheque eletrônico,,981.45,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,0,2,2,2,1,1,0,0,0,1,1
3714-NTNFO,fêmea,0,não,não,49,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,3906.7,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
5948-UJZLF,macho,0,não,não,2,sim,dsl,não,não,não,mês a mês,cheque enviado,,97.0,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,0,0,0,0,1,2,0,1,1,1,1
7760-OYPDY,fêmea,0,não,não,2,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,144.15,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,2,1,1,1,0,0,1,1
7639-LIAYI,macho,0,não,não,52,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,4217.8,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,0,2,2,2,0,0,0,1,1,1,1
2954-PIBKO,fêmea,0,sim,sim,69,sim,dsl,sim,sim,não,dois anos,cartão de crédito (automático),,4254.1,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,2,2,0,0,0,0,0,0,1,1
8012-SOUDQ,fêmea,1,não,não,43,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,3838.75,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,2,1,1,0,0,0,1,1
9420-LOJKX,fêmea,0,não,não,15,sim,fibra óptica,sim,não,sim,mês a mês,cartão de crédito (automático),,1426.4,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,2,0,2,1,0,1,0,0,1,1
6575-SUVOI,fêmea,1,sim,não,25,sim,dsl,sim,sim,sim,mês a mês,cartão de crédito (automático),,1752.65,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,0,2,2,2,1,0,0,0,0,1,1
7495-OOKFY,fêmea,1,sim,não,8,sim,fibra óptica,não,não,não,mês a mês,cartão de crédito (automático),,633.3,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1
4667-QONEA,fêmea,1,sim,sim,60,sim,dsl,sim,sim,não,um ano,cartão de crédito (automático),,4456.35,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,2,2,0,2,0,0,0,0,1,1
1658-BYGOY,macho,1,não,não,18,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,1752.55,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,0,2,1,1,1,1,1,1,1
8769-KKTPH,fêmea,0,sim,sim,63,sim,fibra óptica,sim,não,sim,um ano,cartão de crédito (automático),,6311.2,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,1,2,0,2,2,0,0,0,0,1,1
5067-XJQFU,macho,1,sim,sim,66,sim,fibra óptica,não,sim,sim,um ano,cheque eletrônico,,7076.35,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,1,0,2,2,2,1,0,1,1,1,1
3957-SQXML,fêmea,0,sim,sim,34,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,894.3,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,0,0,0,0,0,1,1
5954-BDFSG,fêmea,0,não,não,72,sim,fibra óptica,não,sim,sim,dois anos,cartão de crédito (automático),,7853.7,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,2,2,0,0,0,0,0,1,1
0434-CSFON,fêmea,0,sim,não,47,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,4707.1,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,1,0,0,2,1,1,0,0,0,1,1
1215-FIGMP,macho,0,não,não,60,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,5450.7,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,0,2,1,3,0,1,1,1,1
0526-SXDJP,macho,0,sim,não,72,não,dsl,sim,não,não,dois anos,transferência bancária (automática),,2962.0,não,macho,macho,não,não,65.60756321839081,71.45,1,1,0,0,0,2,0,0,0,3,0,1,1,0,0
0557-ASKVU,fêmea,0,sim,sim,18,sim,dsl,não,sim,não,um ano,cartão de crédito (automático),,957.1,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,0,2,0,2,0,0,0,0,1,1
5698-BQJOH,fêmea,0,não,não,9,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,857.25,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,2,1,1,1,0,0,1,1
5122-CYFXA,fêmea,0,não,não,3,sim,dsl,não,sim,sim,mês a mês,cheque eletrônico,,244.1,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,0,0,2,2,1,1,0,0,0,1,1
8627-ZYGSZ,macho,0,sim,não,47,sim,fibra óptica,não,não,não,um ano,cheque eletrônico,,3650.35,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,0,1,1,0,0,0,2,1,0,1,1,1,1
3410-YOQBQ,fêmea,0,não,não,31,sim,dsl,não,sim,sim,dois anos,cheque enviado,,2497.2,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,0,0,2,2,0,2,0,0,0,1,1
3170-NMYVV,fêmea,0,sim,sim,50,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,930.9,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,0,3,0,0,0,1,1
7410-OIEDU,macho,0,não,não,10,sim,fibra óptica,sim,não,não,mês a mês,cheque enviado,,887.35,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,2,0,0,1,2,0,1,1,1,1
2273-QCKXA,macho,0,não,não,1,sim,dsl,não,sim,não,mês a mês,cheque enviado,,49.05,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,0,0,2,0,1,2,0,1,1,1,1
0731-EBJQB,fêmea,0,sim,sim,52,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque eletrônico,,1090.65,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,2,1,0,0,0,1,1
1891-QRQSA,macho,1,sim,sim,64,sim,fibra óptica,sim,sim,sim,dois anos,transferência bancária (automática),,7099.0,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,1,2,2,2,0,3,0,1,1,1,1
8028-PNXHQ,macho,0,sim,sim,62,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1424.6,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,2,1,1,1,0,3,0,1,1,1,1
5630-AHZIL,fêmea,0,não,sim,3,sim,dsl,sim,sim,não,mês a mês,transferência bancária (automática),,177.4,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,1,1,0,2,2,0,1,3,0,0,0,1,1
2673-CXQEU,fêmea,1,não,não,56,sim,fibra óptica,sim,não,sim,um ano,cheque eletrônico,,6139.5,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,2,0,2,2,1,0,0,0,1,1
6416-JNVRK,fêmea,0,não,não,46,sim,dsl,não,não,não,um ano,cartão de crédito (automático),,2688.85,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1
5590-ZSKRV,fêmea,0,sim,sim,8,sim,dsl,sim,não,não,mês a mês,cheque enviado,,482.25,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,2,0,0,1,2,0,0,0,1,1
0191-ZHSKZ,macho,1,não,não,30,sim,dsl,sim,não,sim,mês a mês,cheque eletrônico,,2111.3,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,0,2,0,2,1,1,0,1,1,1,1
3887-PBQAO,fêmea,0,sim,sim,45,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cartão de crédito (automático),,1216.6,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,2,0,0,0,0,1,1
5919-TMRGD,fêmea,0,não,sim,1,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,79.35,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,1,1,1,0,0,2,1,1,1,0,0,1,1
8108-UXRQN,fêmea,0,sim,sim,11,não,dsl,sim,não,sim,mês a mês,cheque eletrônico,,565.35,não,fêmea,fêmea,não,não,65.60756321839081,71.45,0,1,1,0,0,2,0,2,1,1,0,0,0,0,0
9191-MYQKX,fêmea,0,sim,não,7,sim,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,496.9,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,1,0,0,0,1,3,1,0,0,1,1
9919-YLNNG,fêmea,0,não,não,42,sim,fibra óptica,não,sim,sim,mês a mês,transferência bancária (automática),,4327.5,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,2,2,1,3,0,0,0,1,1
0318-ZOPWS,fêmea,0,sim,não,49,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,973.35,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,2,1,1,1,0,3,0,0,0,1,1
4445-ZJNMU,macho,0,não,não,9,sim,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,918.75,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,0,2,1,0,0,1,1,1,1
4808-YNLEU,fêmea,0,sim,não,35,sim,dsl,sim,não,sim,um ano,transferência bancária (automática),,2215.45,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,0,2,0,2,2,3,0,0,0,1,1
1862-QRWPE,fêmea,0,sim,sim,48,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1057.0,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,0,3,0,0,0,1,1
2796-NNUFI,fêmea,0,sim,sim,46,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,927.1,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,0,2,0,0,0,1,1
3016-KSVCP,macho,0,sim,não,29,não,dsl,não,não,sim,mês a mês,cheque enviado,,1009.25,não,macho,macho,não,não,65.60756321839081,71.45,1,1,0,0,0,0,0,2,1,2,0,1,1,0,0
4767-HZZHQ,macho,0,sim,sim,30,sim,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,2570.2,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,1,0,0,0,1,3,0,1,1,1,1
2424-WVHPL,macho,1,não,não,1,sim,fibra óptica,não,sim,não,mês a mês,cheque eletrônico,,74.7,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,2,0,1,1,0,1,1,1,1
7233-PAHHL,macho,0,sim,sim,66,sim,dsl,sim,sim,sim,dois anos,cheque enviado,,5714.25,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,0,2,2,2,0,2,0,1,1,1,1
6067-NGCEU,fêmea,0,não,não,65,sim,fibra óptica,sim,não,sim,mês a mês,cartão de crédito (automático),,7107.0,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,2,0,2,1,0,0,0,0,1,1
9848-JQJTX,macho,0,não,não,72,sim,fibra óptica,não,não,sim,dois anos,transferência bancária (automática),,7459.05,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,0,2,0,3,0,1,1,1,1
8637-XJIVR,fêmea,0,não,não,12,sim,fibra óptica,sim,não,não,mês a mês,cheque eletrônico,,927.35,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,2,0,0,1,1,1,0,0,1,1
9803-FTJCG,macho,0,sim,sim,71,sim,dsl,sim,sim,não,um ano,cartão de crédito (automático),,4748.7,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,0,2,2,0,2,0,0,1,1,1,1
0278-YXOOG,macho,0,não,não,5,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,113.85,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,2,1,1,1,1,2,1,1,1,1,1
3212-KXOCR,macho,0,não,não,52,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1107.2,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,2,1,1,1,0,3,0,1,1,1,1
4598-XLKNJ,fêmea,1,sim,não,25,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,2514.5,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,1,0,0,2,1,1,1,0,0,1,1
6380-ARCEH,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,20.2,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,2,1,1,1,1,2,0,1,1,1,1
3679-XASPY,fêmea,0,sim,sim,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque eletrônico,,19.45,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,2,1,1,1,1,1,0,0,0,1,1
7123-WQUHX,macho,0,não,não,38,sim,fibra óptica,não,sim,sim,um ano,transferência bancária (automática),,3605.6,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,1,0,2,2,2,3,0,1,1,1,1
5386-THSLQ,fêmea,1,sim,não,66,não,dsl,não,não,sim,um ano,transferência bancária (automática),,3027.25,não,fêmea,fêmea,não,não,65.60756321839081,71.45,0,1,0,0,0,0,0,2,2,3,0,0,0,0,0
3192-NQECA,macho,0,sim,não,68,sim,fibra óptica,não,sim,sim,dois anos,transferência bancária (automática),,7611.85,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,1,0,1,1,0,2,2,0,3,1,1,1,1,1
6180-YBIQI,macho,0,não,não,5,não,dsl,não,não,não,mês a mês,cheque enviado,,100.2,não,macho,macho,não,não,65.60756321839081,71.45,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0
6728-DKUCO,fêmea,0,sim,sim,72,sim,fibra óptica,sim,não,sim,um ano,cheque eletrônico,,7303.05,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,1,2,0,2,2,1,0,0,0,1,1
