ID DO CLIENTE,GÊNERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVIÇO TELEFÔNICO,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,MÉTODO DE PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGAMENTO,CHURN
3170-NMYVV,fêmea,0,sim,sim,50,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,930.9,não
7410-OIEDU,macho,0,não,não,10,sim,fibra óptica,sim,não,não,mês a mês,cheque enviado,,887.35,não
2273-QCKXA,macho,0,não,não,1,sim,dsl,não,sim,não,mês a mês,cheque enviado,,49.05,não
0731-EBJQB,fêmea,0,sim,sim,52,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque eletrônico,,1090.65,não
1891-QRQSA,macho,1,sim,sim,64,sim,fibra óptica,sim,sim,sim,dois anos,transferência bancária (automática),,7099.0,não
8028-PNXHQ,macho,0,sim,sim,62,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1424.6,não
5630-AHZIL,fêmea,0,não,sim,3,sim,dsl,sim,sim,não,mês a mês,transferência bancária (automática),,177.4,não
2673-CXQEU,fêmea,1,não,não,56,sim,fibra óptica,sim,não,sim,um ano,cheque eletrônico,,6139.5,não
6416-JNVRK,fêmea,0,não,não,46,sim,dsl,não,não,não,um ano,cartão de crédito (automático),,2688.85,não
5590-ZSKRV,fêmea,0,sim,sim,8,sim,dsl,sim,não,não,mês a mês,cheque enviado,,482.25,não
0191-ZHSKZ,macho,1,não,não,30,sim,dsl,sim,não,sim,mês a mês,cheque eletrônico,,2111.3,não
3887-PBQAO,fêmea,0,sim,sim,45,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cartão de crédito (automático),,1216.6,não
5919-TMRGD,f,0,não,sim,1,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,79.35,sim
8108-UXRQN,fêmea,0,sim,sim,11,não,dsl,sim,não,sim,mês a mês,cheque eletrônico,,565.35,não
9191-MYQKX,fêmea,0,sim,não,7,sim,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,496.9,sim
9919-YLNNG,fêmea,0,não,não,42,sim,fibra óptica,não,sim,sim,mês a mês,transferência bancária (automática),,4327.5,não
0318-ZOPWS,fêmea,0,sim,não,49,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,973.35,não
4445-ZJNMU,macho,0,não,não,9,sim,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,918.75,não
4808-YNLEU,fêmea,0,sim,não,35,sim,dsl,sim,não,sim,um ano,transferência bancária (automática),,2215.45,não
1862-QRWPE,fêmea,0,sim,sim,48,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1057.0,não
2796-NNUFI,fêmea,0,sim,sim,46,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,927.1,não
3016-KSVCP,macho,0,sim,não,29,não,dsl,não,não,sim,mês a mês,cheque enviado,,1009.25,não
4767-HZZHQ,macho,0,sim,sim,30,sim,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,2570.2,não
2424-WVHPL,macho,1,não,não,1,sim,fibra óptica,não,sim,não,mês a mês,cheque eletrônico,,74.7,não
7233-PAHHL,macho,0,sim,sim,66,sim,dsl,sim,sim,sim,dois anos,cheque enviado,,5714.25,não
6067-NGCEU,fêmea,0,não,não,65,sim,fibra óptica,sim,não,sim,mês a mês,cartão de crédito (automático),,7107.0,não
9848-JQJTX,macho,0,não,não,72,sim,fibra óptica,não,não,sim,dois anos,transferência bancária (automática),,7459.05,não
8637-XJIVR,fêmea,0,não,não,12,sim,fibra óptica,sim,não,não,mês a mês,cheque eletrônico,,927.35,sim
9803-FTJCG,macho,0,sim,sim,71,sim,dsl,sim,sim,não,um ano,cartão de crédito (automático),,4748.7,não
0278-YXOOG,macho,0,não,não,5,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,113.85,sim
3212-KXOCR,macho,0,não,não,52,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1107.2,não
4598-XLKNJ,fêmea,1,sim,não,25,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,2514.5,sim
6380-ARCEH,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,20.2,não
3679-XASPY,fêmea,0,sim,sim,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque eletrônico,,19.45,não
7123-WQUHX,macho,0,não,não,38,sim,fibra óptica,não,sim,sim,um ano,transferência bancária (automática),,3605.6,não
5386-THSLQ,fêmea,1,sim,não,66,não,dsl,não,não,sim,um ano,transferência bancária (automática),,3027.25,não
3192-NQECA,macho,0,sim,não,68,sim,fibra óptica,não,sim,sim,dois anos,transferência bancária (automática),,7611.85,sim
6180-YBIQI,macho,0,não,não,5,não,dsl,não,não,não,mês a mês,cheque enviado,,100.2,não
6728-DKUCO,f,0,sim,sim,72,sim,fibra óptica,sim,não,sim,um ano,cheque eletrônico,,7303.05,não
9750-BOOHV,fêmea,0,não,não,32,não,dsl,sim,não,não,um ano,cheque enviado,,927.65,não
8597-CWYHH,macho,0,não,não,43,sim,fibra óptica,não,não,sim,um ano,cheque enviado,,3921.3,não
2848-YXSMW,macho,0,sim,sim,72,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,1363.25,não
0486-HECZI,macho,0,sim,não,55,sim,fibra óptica,sim,não,sim,mês a mês,cheque eletrônico,,5238.9,sim
4549-ZDQYY,fêmea,0,não,não,52,sim,dsl,sim,sim,não,um ano,cartão de crédito (automático),,3042.25,não
5712-AHQNN,fêmea,0,não,não,43,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,3954.1,não
4846-WHAFZ,fêmea,1,sim,não,37,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,2868.15,sim
5256-SKJGO,fêmea,0,sim,sim,64,não,dsl,não,sim,sim,dois anos,cheque eletrônico,,3423.5,não
3071-VBYPO,macho,0,sim,sim,3,sim,fibra óptica,sim,não,sim,mês a mês,cheque eletrônico,,248.4,não
9560-BBZXK,fêmea,0,não,não,36,não,dsl,sim,não,não,dois anos,transferência bancária (automática),,1126.35,não
5299-RULOA,fêmea,0,sim,sim,10,sim,fibra óptica,sim,não,sim,mês a mês,cheque eletrônico,,1064.65,sim
8402-OOOHJ,fêmea,0,não,não,41,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,835.15,não
9445-ZUEQE,macho,0,sim,sim,27,sim,fibra óptica,não,sim,não,mês a mês,cartão de crédito (automático),,2151.6,não
1091-SOZGA,fêmea,0,sim,sim,56,sim,fibra óptica,não,não,sim,um ano,cartão de crédito (automático),,5515.45,não
2928-HLDBA,fêmea,0,não,não,6,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,112.75,não
0404-SWRVG,macho,0,não,não,3,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,229.55,sim
6497-TILVL,fêmea,0,sim,sim,7,sim,dsl,sim,não,não,mês a mês,cheque enviado,,350.35,não
7219-TLZHO,fêmea,0,sim,sim,4,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,62.9,não
4622-YNKIJ,macho,0,não,não,33,sim,fibra óptica,sim,sim,sim,dois anos,cheque eletrônico,,3027.65,não
4412-YLTKF,fêmea,1,não,não,27,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,2135.5,sim
6734-PSBAW,macho,0,sim,não,72,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1723.95,não
3930-ZGWVE,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,19.75,não
2639-UGMAZ,macho,1,não,não,71,não,dsl,sim,não,sim,um ano,cheque eletrônico,,3985.35,não
2876-GZYZC,fêmea,0,não,não,13,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,1215.65,não
6207-WIOLX,fêmea,0,sim,sim,25,não,dsl,sim,não,sim,mês a mês,cartão de crédito (automático),,1502.65,sim
8587-XYZSF,macho,0,não,não,67,sim,dsl,não,sim,não,dois anos,transferência bancária (automática),,3260.1,não
3091-FYHKI,macho,0,não,não,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,,35.45,sim
2372-HWUHI,macho,0,não,não,2,sim,dsl,não,não,não,mês a mês,cheque eletrônico,,81.25,sim
7799-LGRDP,fêmea,0,não,não,43,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,1188.2,não
7850-VWJUU,fêmea,0,não,não,23,sim,fibra óptica,sim,não,não,mês a mês,transferência bancária (automática),,1778.5,não
3774-VBNXY,fêmea,0,sim,sim,64,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,1277.75,não
6217-KDYWC,macho,0,não,sim,57,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,1170.55,não
0390-DCFDQ,fêmea,1,sim,não,1,sim,fibra óptica,não,não,não,mês a mês,cheque enviado,,70.45,sim
3146-MSEGF,fêmea,1,sim,sim,72,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,6425.65,não
4080-OGPJL,fêmea,0,não,não,8,sim,dsl,sim,sim,não,mês a mês,cheque eletrônico,,563.65,sim
1095-WGNGG,fêmea,0,sim,não,61,sim,fibra óptica,não,não,sim,dois anos,transferência bancária (automática),,5971.25,não
2636-SJDOU,macho,0,não,não,64,sim,fibra óptica,sim,não,não,um ano,cartão de crédito (automático),,5289.05,não
1131-QQZEB,macho,1,sim,não,71,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1756.2,não
5716-EZXZN,fêmea,0,sim,sim,65,sim,fibra óptica,sim,sim,sim,dois anos,cartão de crédito (automático),,6416.7,não
6837-BJYDQ,macho,0,não,não,3,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,61.35,não
2135-RXIHG,macho,0,não,não,1,sim,dsl,não,não,não,mês a mês,cheque eletrônico,,45.65,sim
6440-DKQGE,macho,0,não,sim,30,sim,dsl,não,não,sim,um ano,cartão de crédito (automático),,1929.95,não
3466-BYAVD,macho,0,sim,sim,15,sim,dsl,não,sim,não,mês a mês,cheque enviado,,1071.4,não
3780-YVMFA,fêmea,0,sim,sim,8,sim,dsl,não,sim,sim,mês a mês,cheque eletrônico,,564.35,não
3874-EQOEP,macho,0,não,não,7,sim,fibra óptica,não,não,sim,mês a mês,cheque enviado,,655.5,sim
1679-JRFBR,fêmea,0,sim,sim,70,sim,fibra óptica,sim,não,sim,um ano,cartão de crédito (automático),,7930.55,não
9073-ZZIAY,macho,0,sim,sim,62,sim,dsl,sim,sim,sim,dois anos,cheque eletrônico,,5215.25,não
3077-RSNTJ,fêmea,0,sim,sim,6,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,113.5,não
6551-GNYDG,fêmea,0,sim,sim,14,sim,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,1152.8,não
9167-APMXZ,fêmea,0,não,não,22,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,1821.95,não
2749-CTKAJ,macho,0,sim,sim,22,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,419.9,não
6371-NZYEG,macho,0,sim,sim,16,sim,dsl,sim,não,sim,dois anos,cheque enviado,,1024.0,não
7554-NEWDD,macho,0,não,não,10,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,251.6,não
8992-VONJD,fêmea,0,não,sim,13,sim,dsl,sim,não,não,mês a mês,cheque eletrônico,,764.55,não
0867-MKZVY,fêmea,0,sim,não,20,,fibra óptica,sim,não,não,mês a mês,cheque eletrônico,,1592.35,sim
4482-EWFMI,fêmea,0,não,não,2,,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,135.2,não
4648-YPBTM,macho,0,não,não,53,,dsl,não,sim,não,dois anos,transferência bancária (automática),,3958.25,não
2907-ILJBN,fêmea,0,sim,sim,11,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,233.9,não
6345-FZOQH,macho,0,sim,não,69,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,1363.45,não
3376-BMGFE,fêmea,0,não,não,4,,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,273.0,sim
5997-OPVFA,macho,0,sim,não,72,,dsl,sim,sim,sim,dois anos,transferência bancária (automática),,6254.45,não
3445-HXXGF,macho,1,sim,não,58,,dsl,não,não,não,mês a mês,cheque eletrônico,,2651.2,sim
1159-WFSGR,fêmea,0,sim,sim,16,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque eletrônico,,321.4,não
7654-YWJUF,macho,0,sim,não,43,,fibra óptica,sim,sim,não,um ano,transferência bancária (automática),,3539.25,não
1875-QIVME,fêmea,0,sim,não,2,,fibra óptica,não,sim,sim,mês a mês,cheque eletrônico,,242.8,sim
6727-IOTLZ,macho,0,sim,não,14,,dsl,não,sim,sim,dois anos,cheque enviado,,1181.75,não
0691-JVSYA,fêmea,0,sim,não,53,,fibra óptica,não,não,sim,um ano,transferência bancária (automática),,5000.2,sim
5918-VUKWP,fêmea,0,não,não,32,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,transferência bancária (automática),,654.55,não
1744-JHKYS,fêmea,0,sim,não,34,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque eletrônico,,780.2,não
2656-FMOKZ,fêmea,1,não,não,15,,fibra óptica,não,não,não,mês a mês,cheque enviado,,1145.7,sim
2070-FNEXE,fêmea,1,não,não,7,,fibra óptica,sim,não,não,mês a mês,transferência bancária (automática),,503.6,sim
5947-SGKCL,fêmea,0,sim,sim,15,,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,1559.25,não
3712-PKXZA,macho,0,sim,não,61,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cartão de crédito (automático),,1252.0,não
6317-YPKDH,fêmea,0,não,não,1,,dsl,não,não,não,mês a mês,transferência bancária (automática),,29.95,sim
6582-OIVSP,fêmea,0,não,não,1,,dsl,não,não,não,mês a mês,cheque enviado,,45.3,não
9367-WXLCH,macho,0,não,não,8,,fibra óptica,não,não,não,mês a mês,transferência bancária (automática),,662.65,sim
5524-KHNJP,macho,0,sim,sim,33,,dsl,sim,não,sim,um ano,cartão de crédito (automático),,2453.3,não
1918-ZBFQJ,fêmea,0,não,não,13,,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,1111.65,sim
1024-GUALD,fêmea,0,sim,não,1,,dsl,não,não,não,mês a mês,cheque eletrônico,,24.8,sim
4827-USJHP,macho,0,não,não,20,,dsl,não,não,não,mês a mês,cheque enviado,,1023.85,não
8167-GJLRN,macho,0,não,não,3,,dsl,não,sim,não,mês a mês,cheque eletrônico,,82.15,não
0956-SYCWG,fêmea,0,não,não,13,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque eletrônico,,244.8,não
8017-UVSZU,fêmea,0,sim,não,40,,dsl,não,não,não,mês a mês,cartão de crédito (automático),,2379.1,não
7100-FQPRV,macho,0,sim,sim,43,,dsl,sim,sim,não,um ano,cartão de crédito (automático),,3173.35,não
2472-OVKUP,macho,0,sim,não,6,,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,531.0,sim
2984-RGEYA,fêmea,0,sim,sim,69,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,1375.4,não
9680-NIAUV,fêmea,0,sim,sim,72,,fibra óptica,sim,não,sim,dois anos,cartão de crédito (automático),,8129.3,não
2146-EGVDT,macho,0,sim,sim,59,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,1192.7,não
2604-IJPDU,fêmea,0,sim,não,20,,fibra óptica,sim,sim,sim,mês a mês,cheque eletrônico,,1901.65,não
9178-JHUVJ,macho,0,sim,sim,24,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,transferência bancária (automática),,587.4,não
6168-YBYNP,macho,0,não,não,59,,fibra óptica,não,sim,sim,mês a mês,cheque eletrônico,,6519.75,não
7255-SSFBC,macho,0,sim,sim,72,,fibra óptica,não,sim,sim,dois anos,transferência bancária (automática),,8041.65,não
3645-DEYGF,macho,0,não,sim,1,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,20.75,não
9323-HGFWY,fêmea,0,sim,não,27,,fibra óptica,sim,sim,sim,um ano,cartão de crédito (automático),,2681.15,não
8544-GOQSH,fêmea,0,não,não,14,,fibra óptica,não,sim,não,mês a mês,cartão de crédito (automático),,1112.3,não
3363-DTIVD,macho,0,sim,sim,71,,fibra óptica,sim,não,sim,dois anos,cheque eletrônico,,7405.5,não
7018-WBJNK,macho,0,não,sim,13,,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,1033.95,não
9142-KZXOP,macho,0,não,não,44,,fibra óptica,não,não,não,mês a mês,cartão de crédito (automático),,2958.95,não
7674-YTAFD,fêmea,0,não,não,33,,fibra óptica,não,sim,não,um ano,transferência bancária (automática),,2684.85,não
6348-SNFUS,macho,0,sim,sim,72,,dsl,sim,sim,não,dois anos,cartão de crédito (automático),,4179.2,não
1285-OKIPP,macho,0,não,não,1,,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,79.9,sim
7825-ECJRF,fêmea,0,não,não,19,,fibra óptica,sim,sim,sim,mês a mês,cheque eletrônico,,1934.45,sim
1347-KTTTA,macho,0,sim,não,64,,fibra óptica,não,sim,sim,um ano,cartão de crédito (automático),,6654.1,não
7841-TZDMQ,macho,0,não,não,2,,dsl,não,não,não,mês a mês,cartão de crédito (automático),,84.5,sim
4195-NZGTA,fêmea,0,não,não,1,,dsl,não,não,não,mês a mês,cheque eletrônico,,25.25,não
7157-SMCFK,macho,0,não,sim,61,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cheque enviado,,1124.2,não
4709-LKHYG,fêmea,0,sim,sim,29,,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque eletrônico,,540.05,não
2504-DSHIH,macho,1,sim,não,23,,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,1975.85,não
0699-NDKJM,fêmea,0,sim,não,57,,dsl,sim,não,sim,mês a mês,transferência bancária (automática),,3437.45,não
