id_client,category,category_norm,price,card_type
70,Baby,BABY,22.68,mastercard
71,Music,MUSIC,125.82,mastercard
72,Jewelry,JEWELRY,41.3,mastercard
73,Health,HEALTH,34.88,mastercard
74,Jewelry,JEWELRY,11.45,mastercard
75,Beauty,BEAUTY,91.49,mastercard
76,Health,HEALTH,19.59,mastercard
77,Garden,GARDEN,94.58,mastercard
78,Computers,COMPUTERS,140.9,mastercard
79,Clothing,CLOTHING,32.87,mastercard
100,Kids,KIDS,54.37,mastercard
101,Computers,COMPUTERS,101.07,mastercard
102,Kids,KIDS,101.98,mastercard
103,Electronics,ELECTRONICS,92.96,mastercard
104,Grocery,GROCERY,87.1,mastercard
105,Movies,MOVIES,102.59,mastercard
106,Health,HEALTH,77.19,mastercard
107,Tools,TOOLS,16.65,mastercard
108,Kids,KIDS,56.68,mastercard
109,Electronics,ELECTRONICS,57.1,mastercard
110,Tools,TOOLS,77.33,mastercard
111,Clothing,CLOTHING,136.63,mastercard
112,Games,GAMES,28.0,mastercard
113,Toys,TOYS,115.39,mastercard
114,Jewelry,JEWELRY,45.94,mastercard
115,Beauty,BEAUTY,73.73,mastercard
116,Music,MUSIC,31.92,mastercard
117,Beauty,BEAUTY,118.85,mastercard
118,Shoes,SHOES,91.23,mastercard
119,Jewelry,JEWELRY,129.51,mastercard
120,Baby,BABY,24.97,mastercard
121,Clothing,CLOTHING,145.64,mastercard
122,Clothing,CLOTHING,46.16,mastercard
123,Books,BOOKS,39.03,mastercard
124,Health,HEALTH,142.63,mastercard
360,Games,GAMES,21.32,mastercard
361,Grocery,GROCERY,87.23,mastercard
362,Clothing,CLOTHING,40.75,mastercard
363,Jewelry,JEWELRY,44.32,mastercard
364,Kids,KIDS,120.42,mastercard
365,Grocery,GROCERY,24.31,mastercard
366,Tools,TOOLS,111.53,mastercard
367,Computers,COMPUTERS,84.57,mastercard
